input_file	tokenizer	total_unk_tokens	total_non_pad_tokens
af_afribooms-ud-train	bert-base-multilingual-cased	0	56223
ar_nyuad-ud-train	bert-base-multilingual-cased	0	502991
ar_padt-ud-train	bert-base-multilingual-cased	0	386501
be_hse-ud-train	bert-base-multilingual-cased	5760	713412
bg_btb-ud-train	bert-base-multilingual-cased	0	230411
ca_ancora-ud-train	bert-base-multilingual-cased	0	585262
cop_scriptorium-ud-train	bert-base-multilingual-cased	14548	16933
cs_cac-ud-train	bert-base-multilingual-cased	0	927849
cs_cltt-ud-train	bert-base-multilingual-cased	240	30586
cs_fictree-ud-train	bert-base-multilingual-cased	26	238125
cs_pdt-ud-train	bert-base-multilingual-cased	331	2211388
cu_proiel-ud-train	bert-base-multilingual-cased	76520	292769
da_ddt-ud-train	bert-base-multilingual-cased	0	123873
de_gsd-ud-train	bert-base-multilingual-cased	365	371377
el_gdt-ud-train	bert-base-multilingual-cased	3	101290
en_ewt-ud-train	bert-base-multilingual-cased	207	249516
en_gum-ud-train	bert-base-multilingual-cased	1654	191388
en_lines-ud-train	bert-base-multilingual-cased	173	67919
en_partut-ud-train	bert-base-multilingual-cased	109	50262
es_ancora-ud-train	bert-base-multilingual-cased	29	571146
es_gsd-ud-train	bert-base-multilingual-cased	11	473988
et_edt-ud-train	bert-base-multilingual-cased	912	734300
eu_bdt-ud-train	bert-base-multilingual-cased	2	140116
fa_seraji-ud-train	bert-base-multilingual-cased	82	185765
fi_ftb-ud-train	bert-base-multilingual-cased	25	272180
fi_tdt-ud-train	bert-base-multilingual-cased	840	365454
fr_gsd-ud-train	bert-base-multilingual-cased	14	456811
fr_partut-ud-train	bert-base-multilingual-cased	4	30330
fr_sequoia-ud-train	bert-base-multilingual-cased	0	68953
ga_idt-ud-train	bert-base-multilingual-cased	137	187708
gl_ctg-ud-train	bert-base-multilingual-cased	2	100694
gl_treegal-ud-train	bert-base-multilingual-cased	0	19181
got_proiel-ud-train	bert-base-multilingual-cased	820	81398
grc_perseus-ud-train	bert-base-multilingual-cased	36564	454524
grc_proiel-ud-train	bert-base-multilingual-cased	31302	593958
he_htb-ud-train	bert-base-multilingual-cased	4	195469
hi_hdtb-ud-train	bert-base-multilingual-cased	0	518920
hr_set-ud-train	bert-base-multilingual-cased	22	271633
hu_szeged-ud-train	bert-base-multilingual-cased	210	40836
hy_armtdp-ud-train	bert-base-multilingual-cased	253	104062
id_gsd-ud-train	bert-base-multilingual-cased	222	136728
it_isdt-ud-train	bert-base-multilingual-cased	599	349812
it_partut-ud-train	bert-base-multilingual-cased	0	61703
it_postwita-ud-train	bert-base-multilingual-cased	392	171057
ja_bccwj-ud-train	bert-base-multilingual-cased	0	908738
ja_gsd-ud-train	bert-base-multilingual-cased	561	218569
ko_gsd-ud-train	bert-base-multilingual-cased	468	130970
ko_kaist-ud-train	bert-base-multilingual-cased	1553	672990
la_ittb-ud-train	bert-base-multilingual-cased	0	669880
la_perseus-ud-train	bert-base-multilingual-cased	0	33363
la_proiel-ud-train	bert-base-multilingual-cased	86	333254
lv_lvtb-ud-train	bert-base-multilingual-cased	1685	560122
nl_alpino-ud-train	bert-base-multilingual-cased	34	270709
nl_lassysmall-ud-train	bert-base-multilingual-cased	25	343142
no_bokmaal-ud-train	bert-base-multilingual-cased	88	363212
no_nynorsk-ud-train	bert-base-multilingual-cased	53	379333
pl_lfg-ud-train	bert-base-multilingual-cased	724	195328
pt_bosque-ud-train	bert-base-multilingual-cased	0	217888
pt_gsd-ud-train	bert-base-multilingual-cased	1	314606
ro_nonstandard-ud-train	bert-base-multilingual-cased	181	952191
ro_rrt-ud-train	bert-base-multilingual-cased	335	313377
ru_gsd-ud-train	bert-base-multilingual-cased	1698	138850
ru_syntagrus-ud-train	bert-base-multilingual-cased	1225	2153136
ru_taiga-ud-train	bert-base-multilingual-cased	775	320102
sk_snk-ud-train	bert-base-multilingual-cased	2106	155480
sl_ssj-ud-train	bert-base-multilingual-cased	234	381416
sl_sst-ud-train	bert-base-multilingual-cased	58	116517
sme_giella-ud-train	bert-base-multilingual-cased	17	41579
sr_set-ud-train	bert-base-multilingual-cased	90	130322
sv_lines-ud-train	bert-base-multilingual-cased	148	85731
sv_talbanken-ud-train	bert-base-multilingual-cased	0	112341
ta_ttb-ud-train	bert-base-multilingual-cased	4	18592
tr_imst-ud-train	bert-base-multilingual-cased	0	75499
ug_udt-ud-train	bert-base-multilingual-cased	7488	47100
uk_iu-ud-train	bert-base-multilingual-cased	1571	177525
ur_udtb-ud-train	bert-base-multilingual-cased	2	186604
vi_vtb-ud-train	bert-base-multilingual-cased	15	29198
zh_gsd-ud-train	bert-base-multilingual-cased	138	148210
